nombre,categoria,cocina,comuna,barrio,lat,long,geometry
BRICK,RESTAURANTE,TRADICIONAL,Comuna 1,San Nicolas,-34.6045039553048,-58.3920738798111,POINT (-58.3920738798111 -34.6045039553048)
BRIS,RESTAURANTE,SANDWICHERIA,Comuna 14,Palermo,-34.5888574807608,-58.4260836896419,POINT (-58.4260836896419 -34.5888574807608)
BROA,CAFE,MINUTAS,Comuna 12,Saavedra,-34.5428167606351,-58.4774169904078,POINT (-58.4774169904078 -34.5428167606351)
BROCCOLINO,RESTAURANTE,ITALIANA,Comuna 1,San Nicolas,-34.599270459287,-58.3782940836411,POINT (-58.3782940836411 -34.599270459287)
BROKER BAR,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6043322727974,-58.3717149548086,POINT (-58.3717149548086 -34.6043322727974)
BRUJAS,RESTAURANTE,PIZZERIA,Comuna 14,Palermo,-34.5884754694234,-58.4300173181227,POINT (-58.4300173181227 -34.5884754694234)
BRULE,CAFE,MINUTAS,Comuna 2,Recoleta,-34.5956511975078,-58.4149134377545,POINT (-58.4149134377545 -34.5956511975078)
BRUNCH,CAFE,MINUTAS,Comuna 2,Recoleta,-34.5979159171327,-58.3960522185763,POINT (-58.3960522185763 -34.5979159171327)
BRUNELLO,RESTAURANTE,MINUTAS,Comuna 14,Palermo,-34.5909636419917,-58.4333433730984,POINT (-58.4333433730984 -34.5909636419917)
BS.AS. ESPRESSO,RESTAURANTE,MINUTAS,Comuna 14,Palermo,-34.5841184750662,-58.4200425618996,POINT (-58.4200425618996 -34.5841184750662)
BUDAPEST,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.5997421169746,-58.3714163563274,POINT (-58.3714163563274 -34.5997421169746)
BUDDHABA,RESTAURANTE,ASIATICA,Comuna 13,Belgrano,-34.5563964270794,-58.4515668838107,POINT (-58.4515668838107 -34.5563964270794)
